epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.93929,1.42344,3.38811,1.00666,0.00377,0.94444,0.1129,0.07173,1.234,3.35662,0.92761,0.00048,0.00048,0.00048
2,11.8027,1.37244,1.98504,0.98752,0.38919,0.08901,0.11228,0.07923,1.09684,3.17467,0.94428,0.000970298,0.000970298,0.000970298
3,16.3851,1.33621,1.67958,0.96302,0.68231,0.12023,0.59072,0.35434,1.30661,2.60823,1.00876,0.0014507,0.0014507,0.0014507
4,20.6899,1.32427,1.59992,0.95197,0.17362,0.52778,0.12878,0.09053,1.17607,3.04948,0.98584,0.00192119,0.00192119,0.00192119
5,25.0084,1.34006,1.41897,0.95756,0.15758,0.69444,0.141,0.08344,1.135,4.03023,0.96674,0.0019208,0.0019208,0.0019208
6,29.349,1.26404,1.32841,0.98646,0.36683,0.66667,0.31168,0.20381,1.17496,5.84601,0.98673,0.001901,0.001901,0.001901
7,33.5676,1.28458,1.29653,0.96108,0.0625,0.66667,0.09413,0.04306,1.05452,14.5367,0.99576,0.0018812,0.0018812,0.0018812
8,37.8877,1.35368,1.16891,1.02338,0.6749,0.69444,0.68976,0.44144,1.13477,1.54954,0.97902,0.0018614,0.0018614,0.0018614
9,42.3029,1.3304,1.14744,0.97864,0.78597,0.81623,0.84516,0.55538,1.00608,1.28485,0.97632,0.0018416,0.0018416,0.0018416
10,46.5761,1.24974,1.1322,0.96764,0.70875,0.91667,0.75555,0.48111,1.16062,1.00789,0.99735,0.0018218,0.0018218,0.0018218
11,50.7801,1.25858,1.06383,0.91794,0.97024,0.90595,0.94477,0.6306,1.08803,0.85217,1.02809,0.001802,0.001802,0.001802
12,55.097,1.12223,1.02141,0.93728,0.84633,0.88889,0.8745,0.60066,0.9376,0.82821,0.97715,0.0017822,0.0017822,0.0017822
13,59.5492,1.21361,1.04026,0.92852,0.82288,0.88889,0.84266,0.55227,1.0266,0.91139,0.97448,0.0017624,0.0017624,0.0017624
14,64.615,1.17495,0.94903,0.94899,0.8266,0.88889,0.84447,0.58146,0.97001,0.77764,0.9675,0.0017426,0.0017426,0.0017426
15,68.8662,1.12534,0.8994,0.95891,0.96213,0.88889,0.94338,0.67958,0.93126,0.71887,0.9478,0.0017228,0.0017228,0.0017228
16,73.1046,1.12976,0.82812,0.93746,0.89147,0.94444,0.90778,0.63617,0.86846,0.68671,0.93761,0.001703,0.001703,0.001703
17,77.5079,1.0894,0.84236,0.9297,0.90806,0.91667,0.93796,0.64247,0.95133,0.81543,0.94596,0.0016832,0.0016832,0.0016832
18,81.8463,1.09333,0.77841,0.94065,0.94525,0.91667,0.94495,0.65906,0.92527,0.59932,0.92966,0.0016634,0.0016634,0.0016634
19,86.2997,1.01699,0.7607,0.91921,0.91856,0.94004,0.90264,0.63922,0.89609,0.63428,0.93512,0.0016436,0.0016436,0.0016436
20,90.3632,0.93201,0.71113,0.91941,0.84842,0.93304,0.92172,0.64977,0.90877,0.72461,0.94339,0.0016238,0.0016238,0.0016238
21,94.7989,1.00129,0.76367,0.89313,0.86569,0.91667,0.93022,0.63675,0.87864,0.68319,0.93479,0.001604,0.001604,0.001604
22,99.1375,1.03917,0.75602,0.93825,0.94353,0.94444,0.94511,0.65689,0.93107,0.61273,0.927,0.0015842,0.0015842,0.0015842
23,103.258,1.02296,0.69793,0.90804,0.9855,0.86111,0.94356,0.66397,0.91024,0.55954,0.92655,0.0015644,0.0015644,0.0015644
24,107.636,0.97002,0.64905,0.85967,0.92631,0.88889,0.93862,0.68686,0.86542,0.62052,0.91918,0.0015446,0.0015446,0.0015446
25,112.057,1.06869,1.06893,0.89698,0.94126,0.94444,0.95696,0.68206,0.81502,0.54078,0.9041,0.0015248,0.0015248,0.0015248
26,116.423,0.90515,0.67394,0.87263,1,0.90788,0.96189,0.71008,0.80977,0.50384,0.91179,0.001505,0.001505,0.001505
27,120.769,0.92149,0.63885,0.88606,0.97106,0.93236,0.93457,0.66267,0.91363,0.5605,0.92258,0.0014852,0.0014852,0.0014852
28,125.192,0.88362,0.63187,0.89081,0.91772,0.94444,0.92942,0.6247,0.96556,0.54622,0.93748,0.0014654,0.0014654,0.0014654
29,129.56,0.97913,0.63509,0.92469,0.93838,0.91667,0.92299,0.6775,0.79373,0.56905,0.90474,0.0014456,0.0014456,0.0014456
30,133.931,0.96462,0.65688,0.92326,0.87125,0.93996,0.86987,0.59736,0.99648,0.65552,0.9283,0.0014258,0.0014258,0.0014258
31,138.412,0.94883,0.65923,0.88448,0.91173,0.86077,0.87668,0.63883,0.80598,0.58161,0.91235,0.001406,0.001406,0.001406
32,142.624,0.99981,0.60101,0.8881,0.94228,0.90706,0.93704,0.66561,0.90574,0.55322,0.9318,0.0013862,0.0013862,0.0013862
33,146.99,0.98024,0.6276,0.91559,0.89404,0.93765,0.93363,0.67571,0.83353,0.51136,0.91179,0.0013664,0.0013664,0.0013664
34,151.228,0.9398,0.60023,0.88149,0.91441,0.89034,0.9262,0.64911,0.82391,0.54417,0.907,0.0013466,0.0013466,0.0013466
35,155.373,0.92639,0.56374,0.88316,0.95521,0.91667,0.95556,0.67825,0.88459,0.55496,0.9143,0.0013268,0.0013268,0.0013268
36,159.704,0.90376,0.63352,0.8983,0.9369,0.91667,0.95601,0.66503,0.84669,0.51628,0.91483,0.001307,0.001307,0.001307
37,163.943,0.90915,0.65689,0.93548,0.91664,0.91632,0.95344,0.70068,0.78651,0.51,0.90526,0.0012872,0.0012872,0.0012872
38,168.202,0.92398,0.60749,0.90399,0.94237,0.90868,0.93943,0.67789,0.85325,0.64477,0.91578,0.0012674,0.0012674,0.0012674
39,172.463,0.9005,0.59318,0.88328,0.93753,0.91667,0.93727,0.71435,0.73324,0.56487,0.89819,0.0012476,0.0012476,0.0012476
40,177.161,0.93574,0.58687,0.90572,0.91872,0.94204,0.94118,0.67789,0.80528,0.53322,0.90788,0.0012278,0.0012278,0.0012278
41,181.395,0.90929,0.56238,0.85212,0.97126,0.93875,0.948,0.73227,0.71355,0.52925,0.90302,0.001208,0.001208,0.001208
42,185.689,0.94091,0.56283,0.88358,0.96783,0.94444,0.94795,0.67828,0.85527,0.51768,0.91778,0.0011882,0.0011882,0.0011882
43,190.034,0.88463,0.56075,0.8786,0.94427,0.94141,0.92727,0.69434,0.74439,0.51936,0.90312,0.0011684,0.0011684,0.0011684
44,194.317,0.79506,0.50755,0.83661,0.93808,0.91667,0.91744,0.69192,0.70757,0.50181,0.90555,0.0011486,0.0011486,0.0011486
45,198.55,0.83443,0.56722,0.88833,0.93932,0.91667,0.91685,0.67531,0.76592,0.50146,0.90654,0.0011288,0.0011288,0.0011288
46,202.907,0.81901,0.50663,0.85766,0.93944,0.94444,0.94846,0.76239,0.7066,0.48947,0.89849,0.001109,0.001109,0.001109
47,207.101,0.91165,0.58497,0.90152,0.96822,0.94444,0.95437,0.72693,0.74037,0.52888,0.8993,0.0010892,0.0010892,0.0010892
48,211.476,0.89633,0.55365,0.88444,0.94356,0.94444,0.92746,0.64065,0.87639,0.54861,0.90983,0.0010694,0.0010694,0.0010694
49,215.733,0.88206,0.55419,0.89977,0.97132,0.94095,0.96557,0.71804,0.74788,0.47831,0.89889,0.0010496,0.0010496,0.0010496
50,220.087,0.8224,0.50897,0.85673,0.94433,0.94246,0.96596,0.7214,0.77045,0.46813,0.90049,0.0010298,0.0010298,0.0010298
51,224.417,0.82674,0.51312,0.86663,0.96832,0.94444,0.96475,0.71757,0.72205,0.50397,0.89667,0.00101,0.00101,0.00101
52,228.535,0.81664,0.49815,0.86207,0.96459,0.94444,0.96149,0.70627,0.78809,0.47407,0.90811,0.0009902,0.0009902,0.0009902
53,232.721,0.7315,0.48877,0.85899,0.96612,0.94444,0.95295,0.72774,0.72941,0.48244,0.89807,0.0009704,0.0009704,0.0009704
54,236.971,0.80138,0.49236,0.84459,0.94226,0.94444,0.94183,0.72108,0.74413,0.46661,0.89515,0.0009506,0.0009506,0.0009506
55,241.321,0.79829,0.4943,0.86818,0.94185,0.94444,0.94579,0.71631,0.7695,0.45545,0.89859,0.0009308,0.0009308,0.0009308
56,245.609,0.78859,0.50421,0.87691,0.93728,0.94444,0.95605,0.73361,0.74008,0.45511,0.89788,0.000911,0.000911,0.000911
57,249.733,0.71501,0.45794,0.8606,0.92822,0.94444,0.96593,0.72519,0.73916,0.49002,0.89913,0.0008912,0.0008912,0.0008912
58,253.87,0.71196,0.46892,0.83715,0.94046,0.94444,0.96705,0.7126,0.77147,0.45575,0.90274,0.0008714,0.0008714,0.0008714
59,258.49,0.7601,0.49588,0.85764,0.97008,0.94444,0.97013,0.74572,0.69593,0.45951,0.89297,0.0008516,0.0008516,0.0008516
60,262.86,0.8139,0.52359,0.84943,0.96646,0.94444,0.97163,0.71796,0.80906,0.44284,0.90395,0.0008318,0.0008318,0.0008318
61,267.03,0.76173,0.47392,0.86531,0.96861,0.94444,0.96782,0.72201,0.71222,0.40382,0.90114,0.000812,0.000812,0.000812
